Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2861,16,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""pattern"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(pattern, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2850,20,T:System.Net.Http.HttpContent,,,,,"request_.Content = new System.Net.Http.StringContent(string.Empty, System.Text.Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2700,20,T:System.Net.Http.HttpContent,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2700,20,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2684,16,T:System.Net.Http.HttpContent,,,,,var responseText = await response.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2677,12,T:System.Net.Http.HttpContent,,,,,"if (response == null || response.Content == null)              {                  return new ObjectResponseResult<T>(default(T), string.Empty);              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2642,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2642,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2624,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2622,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2622,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2611,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2611,20,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2611,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2552,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2552,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2534,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2532,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2532,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2521,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2521,20,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2521,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2370,20,T:System.Net.Http.HttpContent,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2370,20,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      {                          var typedBody = await System.Text.Json.JsonSerializer.DeserializeAsync<T>(responseStream, JsonSerializerSettings, cancellationToken).ConfigureAwait(false);                          return new ObjectResponseResult<T>(typedBody, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\VoiceStudio.App\VoiceStudio.App.csproj,File,src\VoiceStudio.App\Core\Services\Generated\BackendClient.generated.cs,2354,16,T:System.Net.Http.HttpContent,,,,,var responseText = await response.Content.ReadAsStringAsync().ConfigureAwait(false);
